8.3252,41.0000,6.9841,1.0238,322.0000,2.5556,37.8800,-122.2300,4.5260
8.3014,21.0000,6.2381,0.9719,2401.0000,2.1098,37.8600,-122.2200,3.5850
7.2574,52.0000,8.2881,1.0734,496.0000,2.8023,37.8500,-122.2400,3.5210
5.6431,52.0000,5.8174,1.0731,558.0000,2.5479,37.8500,-122.2500,3.4130
3.8462,52.0000,6.2819,1.0811,565.0000,2.1815,37.8500,-122.2500,3.4220
4.0368,52.0000,4.7617,1.1036,413.0000,2.1399,37.8500,-122.2500,2.6970
3.6591,52.0000,4.9319,0.9514,1094.0000,2.1284,37.8400,-122.2500,2.9920
3.1200,52.0000,4.7975,1.0618,1157.0000,1.7883,37.8400,-122.2500,2.4140
2.0804,42.0000,4.2941,1.1176,1206.0000,2.0269,37.8400,-122.2600,2.2670
3.6912,52.0000,4.9706,0.9902,1551.0000,2.1723,37.8400,-122.2500,2.6110
3.2031,52.0000,5.4776,1.0796,910.0000,2.2637,37.8500,-122.2600,2.8150
3.2705,52.0000,4.7725,1.0245,1504.0000,2.0490,37.8500,-122.2600,2.4180
3.0750,52.0000,5.3226,1.0128,1098.0000,2.3462,37.8500,-122.2600,2.1350
2.6736,52.0000,4.0000,1.0977,345.0000,1.9828,37.8400,-122.2600,1.9130
1.9167,52.0000,4.2629,1.0097,1212.0000,1.9548,37.8500,-122.2600,1.5920
2.1250,50.0000,4.2424,1.0720,697.0000,2.6402,37.8500,-122.2600,1.4000
2.7750,52.0000,5.9396,1.0483,793.0000,2.3958,37.8500,-122.2700,1.5250
2.1202,52.0000,4.0528,0.9670,648.0000,2.1386,37.8500,-122.2700,1.5550
1.9911,50.0000,5.3437,1.0859,990.0000,2.3628,37.8400,-122.2600,1.5870
2.6033,52.0000,5.4655,1.0836,690.0000,2.5091,37.8400,-122.2700,1.6290
1.3578,40.0000,4.5241,1.1084,409.0000,2.4639,37.8500,-122.2700,1.4750
1.7135,42.0000,4.4781,1.0027,929.0000,2.5383,37.8500,-122.2700,1.5980
1.7250,52.0000,5.0962,1.1318,1015.0000,2.1234,37.8400,-122.2700,1.1390
2.1806,52.0000,5.1938,1.0369,853.0000,2.6246,37.8400,-122.2700,0.9970
2.6000,52.0000,5.2701,1.0355,1006.0000,2.3839,37.8400,-122.2700,1.3260
2.4038,41.0000,4.4958,1.0336,317.0000,2.6639,37.8500,-122.2800,1.0750
2.4597,49.0000,4.7280,1.0209,607.0000,2.5397,37.8500,-122.2800,0.9380
1.8080,52.0000,4.7809,1.0605,1102.0000,2.7758,37.8500,-122.2800,1.0550
1.6424,50.0000,4.4017,1.0402,1131.0000,2.3911,37.8400,-122.2800,1.0890
